Comment,Designator,Footprint,LCSC
1k,"R13,R16",R_0402_1005Metric,C11702
27k,R4,R_0402_1005Metric,C138022
AO3402,"Q5,Q7",SOT-23,C14385
1u,"C1,C2,C3,C4,C8",R_0402_1005Metric,C14445
AO3401A,"Q3,Q6",SOT-23,C15127
10u,"C6,C7",R_0402_1005Metric,C15525
430,R3,R_0402_1005Metric,C163462
Korean Hroparts Elec TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
120,R22,R_0402_1005Metric,C25079
10k,"R17,R18,R19,R20,R21,R5,R6,R7",R_0402_1005Metric,C25744
4k7,"R14,R15",R_0402_1005Metric,C25900
5k1,"R1,R2",R_0402_1005Metric,C25905
Reset,"SW1,SW2",SW-SMD_L4.0-W3.0-LS5.0,C2888420
ESP32-C3-MINI-1-H4,IC1,ESP32C3MINI1H4,C2934569
3000mAh,BT1,BATTERY-SMD_18650-1S-L77.1-W20.7-1,C2988620
Emerald,D2,LED_0603_1608Metric,C497927
Blue,D3,LED_0603_1608Metric,C5151484
BQ25170DSGR,IC2,SON50P200X200X80-9N,C5208201
0.1u,"C10,C5,C9",R_0402_1005Metric,C60474
100k,"R10,R11,R12",R_0402_1005Metric,C60491
Red,D4,LED_0603_1608Metric,C7371906
USBLC6-2SC6,D1,SOT95P280X145-6N,C7519
BH1750FVI-TR,IC3,WSOF6,C78960
RT9080-33GJ5,IC5,SOT94P280X100-5N,C841192
DHT22,IC4,DHT22,
Boot Option,J2,PinHeader_1x02_P2.54mm_Vertical,
B5B-XH-A_LF__SN_,J4,PinHeader_1x05_P2.54mm_Vertical,
TestPoint,TP1,TestPoint_Pad_D1.0mm,
