Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,3000mAh,BATTERY-SMD_18650-1S-L77.1-W20.7-1,83.5025,-35.9765,90.0,bottom
C1,1u,R_0402_1005Metric,109.5355,-36.9016,0.0,top
C2,1u,R_0402_1005Metric,106.4347,-35.022,180.0,top
C3,1u,R_0402_1005Metric,101.8346,-27.4004,0.0,top
C4,1u,R_0402_1005Metric,100.0164,-32.5312,180.0,top
C5,0.1u,R_0402_1005Metric,91.694,-35.9197,180.0,top
C6,10u,R_0402_1005Metric,48.4315,-47.3964,90.0,top
C7,10u,R_0402_1005Metric,46.4694,-47.3964,90.0,top
C8,1u,R_0402_1005Metric,54.3178,-47.3964,-90.0,top
C9,0.1u,R_0402_1005Metric,62.1284,-45.356925,180.0,top
C10,0.1u,R_0402_1005Metric,62.1792,-30.624925,180.0,top
C11,22p,R_0402_1005Metric,52.5252,-29.8196,180.0,top
C12,22p,R_0402_1005Metric,54.5064,-29.8196,0.0,top
C13,100n,R_0402_1005Metric,84.6392,-41.8465,180.0,top
C14,100n,R_0402_1005Metric,84.7916,-35.4965,0.0,top
C15,1u,R_0402_1005Metric,109.6181,-41.8488,90.0,top
D1,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,118.618,-38.8112,0.0,top
D2,Emerald,LED_0603_1608Metric,108.5088,-28.8544,-90.0,top
D3,Blue,LED_0603_1608Metric,110.6932,-28.8544,-90.0,top
D4,Red,LED_0603_1608Metric,66.5988,-38.1508,-90.0,top
FID1,Fiducial,Fiducial_0.75mm_Mask2.25mm,41.4528,-48.26,0.0,top
FID2,Fiducial,Fiducial_0.75mm_Mask2.25mm,79.8576,-43.2816,0.0,top
FID3,Fiducial,Fiducial_0.75mm_Mask2.25mm,125.4252,-29.21,0.0,top
IC2,BQ25170DSGR,WSON-8_L2.0-W2.0-P0.50-TL-EP,109.5248,-34.3916,180.0,top
IC5,RT9080-33GJ5,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,100.9396,-29.972,90.0,top
J1,Korean Hroparts Elec TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,118.618,-47.4675,0.0,top
Q1,AO3401A,SOT-23,100.5332,-40.4368,180.0,top
Q2,AO3401A,SOT-23,100.5332,-36.8808,180.0,top
Q3,AO3401A,SOT-23,73.8124,-40.673866,0.0,top
Q5,AO3402,SOT-23,73.8124,-32.884534,0.0,top
Q6,AO3401A,SOT-23,73.8124,-36.7792,0.0,top
Q7,AO3402,SOT-23,73.8124,-44.568534,0.0,top
Q8,S8050,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,100.5249,-44.7444,0.0,top
Q9,S8050,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,100.5249,-48.4528,0.0,top
R1,5k1,R_0402_1005Metric,121.7168,-42.2148,90.0,top
R2,5k1,R_0402_1005Metric,115.4176,-42.2148,90.0,top
R3,430,R_0402_1005Metric,112.7359,-35.022,180.0,top
R4,27k,R_0402_1005Metric,106.4347,-33.752,180.0,top
R5,10k,R_0402_1005Metric,112.7359,-33.8028,0.0,top
R6,10k,R_0402_1005Metric,112.268,-28.8344,90.0,top
R7,10k,R_0402_1005Metric,106.9848,-28.8344,90.0,top
R8,1k,R_0402_1005Metric,112.6236,-45.7708,-90.0,top
R9,22k1,R_0402_1005Metric,108.2465,-41.8488,-90.0,top
R10,100k,R_0402_1005Metric,69.9773,-34.901334,0.0,top
R11,100k,R_0402_1005Metric,69.9773,-37.542934,0.0,top
R12,100k,R_0402_1005Metric,69.9773,-32.259734,0.0,top
R13,1k,R_0402_1005Metric,93.6244,-38.8661,-90.0,top
R14,4k7,R_0402_1005Metric,80.1116,-37.8968,0.0,top
R15,4k7,R_0402_1005Metric,80.1116,-39.37,0.0,top
R16,1k,R_0402_1005Metric,91.694,-41.8633,180.0,top
R17,10k,R_0402_1005Metric,52.3557,-47.3964,90.0,top
R18,10k,R_0402_1005Metric,50.3936,-47.3964,90.0,top
R19,10k,R_0402_1005Metric,59.0804,-35.052,180.0,top
R20,10k,R_0402_1005Metric,69.9773,-45.467734,0.0,top
R21,10k,R_0402_1005Metric,69.9773,-40.184534,0.0,top
R22,120,R_0402_1005Metric,69.9773,-42.826134,0.0,top
R23,47k5,R_0402_1005Metric,106.8749,-41.8488,90.0,top
R24,1k,R_0402_1005Metric,105.3509,-41.8488,-90.0,top
R25,10k,R_0402_1005Metric,103.1505,-48.4528,90.0,top
R26,10k,R_0402_1005Metric,103.1505,-44.7444,90.0,top
SW1,Reset,SW-SMD_L4.0-W3.0-LS5.0,62.1792,-42.969325,180.0,top
SW2,Boot,SW-SMD_L4.0-W3.0-LS5.0,62.1792,-32.961725,180.0,top
U1,CP2102N-Axx-xQFN24,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,107.554,-46.6748,180.0,top
U2,ESP32-C3-MINI-1-H4(4MB),WIFIM-SMD_ESP32-C3-MINI-1,50.8,-38.234,90.0,top
U3,BH1750FVI-TR,WSOF-6_L2.6-W1.6-P0.50-TL-EP,91.694,-38.8153,90.0,top
U4,BME680,LGA-8_L3.0-W3.0-P0.80-TR,85.3948,-38.7533,90.0,top
